RFID,SIZE,TYPE,BORN_DATE
162,35,Recycle,10/7/2012
163,35,Recycle,10/7/2012
164,35,Recycle,10/7/2012
165,35,Recycle,10/7/2012
166,35,Recycle,10/7/2012
167,35,Recycle,10/7/2012
168,35,Recycle,10/7/2012
169,35,Recycle,10/7/2012
170,35,Recycle,10/7/2012
171,35,Recycle,10/7/2012
172,35,Recycle,10/7/2012
173,35,Recycle,10/7/2012
174,35,Recycle,10/7/2012
175,35,Recycle,10/7/2012
176,35,Recycle,10/7/2012
177,35,Recycle,10/7/2012
178,35,Recycle,10/7/2012
179,35,Recycle,10/7/2012
180,35,Recycle,10/7/2012
181,35,Recycle,10/7/2012
182,35,Recycle,10/7/2012
183,35,Recycle,10/7/2012
184,35,Recycle,10/7/2012
185,35,Recycle,10/7/2012
186,35,Recycle,10/7/2012
187,35,Recycle,10/7/2012
188,35,Recycle,10/7/2012
189,35,Recycle,10/7/2012
190,35,Recycle,10/7/2012
191,35,Recycle,10/7/2012
192,35,Recycle,10/7/2012
193,35,Recycle,10/7/2012
194,35,Recycle,10/7/2012
195,35,Recycle,10/7/2012
196,35,Recycle,10/7/2012
197,35,Recycle,10/7/2012
198,35,Recycle,10/7/2012
199,35,Recycle,10/7/2012
200,35,Recycle,10/7/2012
201,35,Recycle,10/7/2012
202,35,Recycle,10/7/2012
203,35,Recycle,10/7/2012
204,35,Recycle,10/7/2012
205,35,Recycle,10/7/2012
206,35,Recycle,10/7/2012
207,35,Recycle,10/7/2012
208,35,Recycle,10/7/2012
209,35,Recycle,10/7/2012
210,35,Recycle,10/7/2012
211,35,Recycle,10/7/2012
212,35,Recycle,10/7/2012
213,35,Recycle,10/7/2012
214,35,Recycle,10/7/2012
215,35,Recycle,10/7/2012
216,35,Recycle,10/7/2012
217,35,Recycle,10/7/2012
218,35,Recycle,10/7/2012
219,35,Recycle,10/7/2012
220,35,Recycle,10/7/2012
221,35,Recycle,10/7/2012
222,35,Recycle,10/7/2012
223,35,Recycle,10/7/2012
224,35,Recycle,10/7/2012
225,35,Recycle,10/7/2012
226,35,Recycle,10/7/2012
227,35,Recycle,10/7/2012
228,35,Recycle,10/7/2012
229,35,Recycle,10/7/2012
230,35,Recycle,10/7/2012
231,35,Recycle,10/7/2012
232,35,Recycle,10/7/2012
233,35,Recycle,10/7/2012
234,35,Recycle,10/7/2012
235,35,Recycle,10/7/2012
236,35,Recycle,10/7/2012
237,35,Recycle,10/7/2012
238,35,Recycle,10/7/2012
239,35,Recycle,10/7/2012
240,35,Recycle,10/7/2012
241,35,Recycle,10/7/2012
242,35,Recycle,10/7/2012
243,35,Recycle,10/7/2012
244,35,Recycle,10/7/2012
245,35,Recycle,10/7/2012
246,35,Recycle,10/7/2012
247,35,Recycle,10/7/2012
248,35,Recycle,10/7/2012
249,35,Recycle,10/7/2012
250,35,Recycle,10/7/2012
251,35,Recycle,10/7/2012
252,35,Recycle,10/7/2012
253,35,Recycle,10/7/2012
254,35,Recycle,10/7/2012
255,35,Recycle,10/7/2012
256,35,Recycle,10/7/2012
257,35,Recycle,10/7/2012
258,35,Recycle,10/7/2012
259,35,Recycle,10/7/2012
260,35,Recycle,10/7/2012
261,35,Recycle,10/7/2012
262,35,Recycle,10/7/2012
263,35,Recycle,10/7/2012
264,35,Recycle,10/7/2012
265,35,Recycle,10/7/2012
266,35,Recycle,10/7/2012
267,35,Recycle,10/7/2012
268,35,Recycle,10/7/2012
269,35,Recycle,10/7/2012
270,35,Recycle,10/7/2012
271,35,Recycle,10/7/2012
272,35,Recycle,10/7/2012
273,35,Recycle,10/7/2012
274,35,Recycle,10/7/2012
275,35,Recycle,10/7/2012
276,35,Recycle,10/7/2012
277,35,Recycle,10/7/2012
278,35,Recycle,10/7/2012
279,35,Recycle,10/7/2012
280,35,Recycle,10/7/2012
281,35,Recycle,10/7/2012
282,35,Recycle,10/7/2012
283,35,Recycle,10/7/2012
284,35,Recycle,10/7/2012
285,35,Recycle,10/7/2012
286,35,Recycle,10/7/2012
287,35,Recycle,10/7/2012
288,35,Recycle,10/7/2012
289,35,Recycle,10/7/2012
290,35,Recycle,10/7/2012
291,35,Recycle,10/7/2012
292,35,Recycle,10/7/2012
293,35,Recycle,10/7/2012
294,35,Recycle,10/7/2012
295,35,Recycle,10/7/2012
296,35,Recycle,10/7/2012
297,35,Recycle,10/7/2012
298,35,Recycle,10/7/2012
299,35,Recycle,10/7/2012
300,35,Recycle,10/7/2012
301,35,Recycle,10/7/2012
302,35,Recycle,10/7/2012
303,35,Recycle,10/7/2012
304,35,Recycle,10/7/2012
305,35,Recycle,10/7/2012
306,35,Recycle,10/7/2012
307,35,Recycle,10/7/2012
308,35,Recycle,10/7/2012
309,35,Recycle,10/7/2012
310,35,Recycle,10/7/2012
311,35,Recycle,10/7/2012
312,35,Recycle,10/7/2012
313,35,Recycle,10/7/2012
314,35,Recycle,10/7/2012
315,35,Recycle,10/7/2012
316,35,Recycle,10/7/2012
317,35,Recycle,10/7/2012
318,35,Recycle,10/7/2012
319,35,Recycle,10/7/2012
320,35,Recycle,10/7/2012
321,35,Recycle,10/7/2012
322,35,Recycle,10/7/2012
323,35,Recycle,10/7/2012
324,35,Recycle,10/7/2012
325,35,Recycle,10/7/2012
326,35,Recycle,10/7/2012
327,35,Recycle,10/7/2012
328,35,Recycle,10/7/2012
329,35,Recycle,10/7/2012
330,35,Recycle,10/7/2012
331,35,Recycle,10/7/2012
332,35,Recycle,10/7/2012
333,35,Recycle,10/7/2012
334,35,Recycle,10/7/2012
335,35,Recycle,10/7/2012
336,35,Recycle,10/7/2012
337,35,Recycle,10/7/2012
338,35,Recycle,10/7/2012
339,35,Recycle,10/7/2012
340,35,Recycle,10/7/2012
341,35,Recycle,10/7/2012
342,35,Recycle,10/7/2012
343,35,Recycle,10/7/2012
344,35,Recycle,10/7/2012
345,35,Recycle,10/7/2012
346,35,Recycle,10/7/2012
347,35,Recycle,10/7/2012
348,35,Recycle,10/7/2012
349,35,Recycle,10/7/2012
350,35,Recycle,10/7/2012
351,35,Recycle,10/7/2012
352,35,Recycle,10/7/2012
353,35,Recycle,10/7/2012
354,35,Recycle,10/7/2012
355,35,Recycle,10/7/2012
356,35,Recycle,10/7/2012
357,35,Recycle,10/7/2012
358,35,Recycle,10/7/2012
359,35,Recycle,10/7/2012
360,35,Recycle,10/7/2012
361,35,Recycle,10/7/2012
362,35,Recycle,10/7/2012
363,35,Recycle,10/7/2012
364,35,Recycle,10/7/2012
365,35,Recycle,10/7/2012
366,35,Recycle,10/7/2012
367,35,Recycle,10/7/2012
368,35,Recycle,10/7/2012
369,35,Recycle,10/7/2012
370,35,Recycle,10/7/2012
371,35,Recycle,10/7/2012
372,35,Recycle,10/7/2012
373,35,Recycle,10/7/2012
374,35,Recycle,10/7/2012
375,35,Recycle,10/7/2012
376,35,Recycle,10/7/2012
377,35,Recycle,10/7/2012
378,35,Recycle,10/7/2012
379,35,Recycle,10/7/2012
380,35,Recycle,10/7/2012
381,35,Recycle,10/7/2012
382,35,Recycle,10/7/2012
383,35,Recycle,10/7/2012
384,35,Recycle,10/7/2012
385,35,Recycle,10/7/2012
386,35,Recycle,10/7/2012
387,35,Recycle,10/7/2012
388,35,Recycle,10/7/2012
389,35,Recycle,10/7/2012
390,35,Recycle,10/7/2012
391,35,Recycle,10/7/2012
392,35,Recycle,10/7/2012
393,35,Recycle,10/7/2012
394,35,Recycle,10/7/2012
395,35,Recycle,10/7/2012
396,35,Recycle,10/7/2012
397,35,Recycle,10/7/2012
398,35,Recycle,10/7/2012
399,35,Recycle,10/7/2012
400,35,Recycle,10/7/2012
401,35,Recycle,10/7/2012
402,35,Recycle,10/7/2012
403,35,Recycle,10/7/2012
404,35,Recycle,10/7/2012
405,35,Recycle,10/7/2012
406,35,Recycle,10/7/2012
407,35,Recycle,10/7/2012
408,35,Recycle,10/7/2012
409,35,Recycle,10/7/2012
410,35,Recycle,10/7/2012
411,35,Recycle,10/7/2012
412,35,Recycle,10/7/2012
413,35,Recycle,10/7/2012
414,35,Recycle,10/7/2012
415,35,Recycle,10/7/2012
416,35,Recycle,10/7/2012
417,35,Recycle,10/7/2012
418,35,Recycle,10/7/2012
419,35,Recycle,10/7/2012
420,35,Recycle,10/7/2012
421,35,Recycle,10/7/2012
422,35,Recycle,10/7/2012
423,35,Recycle,10/7/2012
424,35,Recycle,10/7/2012
425,35,Recycle,10/7/2012
426,35,Recycle,10/7/2012
427,35,Recycle,10/7/2012
428,35,Recycle,10/7/2012
429,35,Recycle,10/7/2012
430,35,Recycle,10/7/2012
431,35,Recycle,10/7/2012
432,35,Recycle,10/7/2012
433,35,Recycle,10/7/2012
434,35,Recycle,10/7/2012
435,35,Recycle,10/7/2012
436,35,Recycle,10/7/2012
437,35,Recycle,10/7/2012
438,35,Recycle,10/7/2012
439,35,Recycle,10/7/2012
440,35,Recycle,10/7/2012
441,35,Recycle,10/7/2012
442,35,Recycle,10/7/2012
443,35,Recycle,10/7/2012
444,35,Recycle,10/7/2012
445,35,Recycle,10/7/2012
446,35,Recycle,10/7/2012
447,35,Recycle,10/7/2012
448,35,Recycle,10/7/2012
449,35,Recycle,10/7/2012
450,35,Recycle,10/7/2012
451,35,Recycle,10/7/2012
452,35,Recycle,10/7/2012
453,35,Recycle,10/7/2012
454,35,Recycle,10/7/2012
455,35,Recycle,10/7/2012
456,35,Recycle,10/7/2012
457,35,Recycle,10/7/2012
458,35,Recycle,10/7/2012
459,35,Recycle,10/7/2012
460,35,Recycle,10/7/2012
461,35,Recycle,10/7/2012
462,35,Recycle,10/7/2012
463,35,Recycle,10/7/2012
464,35,Recycle,10/7/2012
465,35,Recycle,10/7/2012
466,35,Recycle,10/7/2012
467,35,Recycle,10/7/2012
468,35,Recycle,10/7/2012
469,35,Recycle,10/7/2012
470,35,Recycle,10/7/2012
471,35,Recycle,10/7/2012
472,35,Recycle,10/7/2012
473,35,Recycle,10/7/2012
474,35,Recycle,10/7/2012
475,35,Recycle,10/7/2012
476,35,Recycle,10/7/2012
477,35,Recycle,10/7/2012
478,35,Recycle,10/7/2012
479,35,Recycle,10/7/2012
480,35,Recycle,10/7/2012
481,35,Recycle,10/7/2012
482,35,Recycle,10/7/2012
483,35,Recycle,10/7/2012
484,35,Recycle,10/7/2012
485,35,Recycle,10/7/2012
486,35,Recycle,10/7/2012
487,35,Recycle,10/7/2012
488,35,Recycle,10/7/2012
489,35,Recycle,10/7/2012
490,35,Recycle,10/7/2012
491,35,Recycle,10/7/2012
492,35,Recycle,10/7/2012
493,35,Recycle,10/7/2012
494,35,Recycle,10/7/2012
495,35,Recycle,10/7/2012
496,35,Recycle,10/7/2012
497,35,Recycle,10/7/2012
498,35,Recycle,10/7/2012
499,35,Recycle,10/7/2012
500,35,Recycle,10/7/2012
501,35,Recycle,10/7/2012
502,35,Recycle,10/7/2012
503,35,Recycle,10/7/2012
504,35,Recycle,10/7/2012
505,35,Recycle,10/7/2012
506,35,Recycle,10/7/2012
507,35,Recycle,10/7/2012
508,35,Recycle,10/7/2012
509,35,Recycle,10/7/2012
510,35,Recycle,10/7/2012
511,35,Recycle,10/7/2012
512,35,Recycle,10/7/2012
513,35,Recycle,10/7/2012
514,35,Recycle,10/7/2012
515,35,Recycle,10/7/2012
516,35,Recycle,10/7/2012
517,35,Recycle,10/7/2012
518,35,Recycle,10/7/2012
519,35,Recycle,10/7/2012
520,35,Recycle,10/7/2012
521,35,Recycle,10/7/2012
522,35,Recycle,10/7/2012
523,35,Recycle,10/7/2012
524,35,Recycle,10/7/2012
525,35,Recycle,10/7/2012
526,35,Recycle,10/7/2012
527,35,Recycle,10/7/2012
528,35,Recycle,10/7/2012
529,35,Recycle,10/7/2012
530,35,Recycle,10/7/2012
531,35,Recycle,10/7/2012
532,35,Recycle,10/7/2012
533,35,Recycle,10/7/2012
534,35,Recycle,10/7/2012
535,35,Recycle,10/7/2012
536,35,Recycle,10/7/2012
537,35,Recycle,10/7/2012
538,35,Recycle,10/7/2012
539,35,Recycle,10/7/2012
540,35,Recycle,10/7/2012
541,35,Recycle,10/7/2012
542,35,Recycle,10/7/2012
543,35,Recycle,10/7/2012
544,35,Recycle,10/7/2012
545,35,Recycle,10/7/2012
546,35,Recycle,10/7/2012
547,35,Recycle,10/7/2012
548,35,Recycle,10/7/2012
549,35,Recycle,10/7/2012
550,35,Recycle,10/7/2012
551,35,Recycle,10/7/2012
552,35,Recycle,10/7/2012
553,35,Recycle,10/7/2012
554,35,Recycle,10/7/2012
555,35,Recycle,10/7/2012
556,35,Recycle,10/7/2012
557,35,Recycle,10/7/2012
558,35,Recycle,10/7/2012
559,35,Recycle,10/7/2012
560,35,Recycle,10/7/2012
561,35,Recycle,10/7/2012
562,35,Recycle,10/7/2012
563,35,Recycle,10/7/2012
564,35,Recycle,10/7/2012
565,35,Recycle,10/7/2012
566,35,Recycle,10/7/2012
567,35,Recycle,10/7/2012
568,35,Recycle,10/7/2012
569,35,Recycle,10/7/2012
570,35,Recycle,10/7/2012
571,35,Recycle,10/7/2012
572,35,Recycle,10/7/2012
573,35,Recycle,10/7/2012
574,35,Recycle,10/7/2012
575,35,Recycle,10/7/2012
576,35,Recycle,10/7/2012
577,35,Recycle,10/7/2012
578,35,Recycle,10/7/2012
579,35,Recycle,10/7/2012
580,35,Recycle,10/7/2012
581,35,Recycle,10/7/2012
582,35,Recycle,10/7/2012
583,35,Recycle,10/7/2012
584,35,Recycle,10/7/2012
585,35,Recycle,10/7/2012
586,35,Recycle,10/7/2012
587,35,Recycle,10/7/2012
588,35,Recycle,10/7/2012
589,35,Recycle,10/7/2012
590,35,Recycle,10/7/2012
591,35,Recycle,10/7/2012
592,35,Recycle,10/7/2012
593,35,Recycle,10/7/2012
594,35,Recycle,10/7/2012
595,35,Recycle,10/7/2012
596,35,Recycle,10/7/2012
597,35,Recycle,10/7/2012
598,35,Recycle,10/7/2012
599,35,Recycle,10/7/2012
600,35,Recycle,10/7/2012
601,35,Recycle,10/7/2012
602,35,Recycle,10/7/2012
603,35,Recycle,10/7/2012
604,35,Recycle,10/7/2012
605,35,Recycle,10/7/2012
606,35,Recycle,10/7/2012
607,35,Recycle,10/7/2012
608,35,Recycle,10/7/2012
609,35,Recycle,10/7/2012
610,35,Recycle,10/7/2012
611,35,Recycle,10/7/2012
612,35,Recycle,10/7/2012
613,35,Recycle,10/7/2012
614,35,Recycle,10/7/2012
615,35,Recycle,10/7/2012
616,35,Recycle,10/7/2012
617,35,Recycle,10/7/2012
618,35,Recycle,10/7/2012
619,35,Recycle,10/7/2012
620,35,Recycle,10/7/2012
621,35,Recycle,10/7/2012
622,35,Recycle,10/7/2012
623,35,Recycle,10/7/2012
624,35,Recycle,10/7/2012
625,35,Recycle,10/7/2012
626,35,Recycle,10/7/2012
627,35,Recycle,10/7/2012
628,35,Recycle,10/7/2012
629,35,Recycle,10/7/2012
630,35,Recycle,10/7/2012
631,35,Recycle,10/7/2012
632,35,Recycle,10/7/2012
633,35,Recycle,10/7/2012
634,35,Recycle,10/7/2012
635,35,Recycle,10/7/2012
636,35,Recycle,10/7/2012
637,35,Recycle,10/7/2012
638,35,Recycle,10/7/2012
639,35,Recycle,10/7/2012
640,35,Recycle,10/7/2012
641,35,Recycle,10/7/2012
642,35,Recycle,10/7/2012
643,35,Recycle,10/7/2012
644,35,Recycle,10/7/2012
645,35,Recycle,10/7/2012
646,35,Recycle,10/7/2012
647,35,Recycle,10/7/2012
648,35,Recycle,10/7/2012
649,35,Recycle,10/7/2012
650,35,Recycle,10/7/2012
651,35,Recycle,10/7/2012
652,35,Recycle,10/7/2012
653,35,Recycle,10/7/2012
654,35,Recycle,10/7/2012
655,35,Recycle,10/7/2012
656,35,Recycle,10/7/2012
657,35,Recycle,10/7/2012
658,35,Recycle,10/7/2012
659,35,Recycle,10/7/2012
660,35,Recycle,10/7/2012
661,35,Recycle,10/7/2012
662,35,Recycle,10/7/2012
663,35,Recycle,10/7/2012
664,35,Recycle,10/7/2012
665,35,Recycle,10/7/2012
666,35,Recycle,10/7/2012
667,35,Recycle,10/7/2012
668,35,Recycle,10/7/2012
669,35,Recycle,10/7/2012
670,35,Recycle,10/7/2012
671,35,Recycle,10/7/2012
672,35,Recycle,10/7/2012
673,35,Recycle,10/7/2012
674,35,Recycle,10/7/2012
675,35,Recycle,10/7/2012
676,35,Recycle,10/7/2012
677,35,Recycle,10/7/2012
678,35,Recycle,10/7/2012
679,35,Recycle,10/7/2012
680,35,Recycle,10/7/2012
681,35,Recycle,10/7/2012
682,35,Recycle,10/7/2012
683,35,Recycle,10/7/2012
684,35,Recycle,10/7/2012
685,35,Recycle,10/7/2012
686,35,Recycle,10/7/2012
687,35,Recycle,10/7/2012
688,35,Recycle,10/7/2012
689,35,Recycle,10/7/2012
690,35,Recycle,10/7/2012
691,35,Recycle,10/7/2012
692,35,Recycle,10/7/2012
693,35,Recycle,10/7/2012
694,35,Recycle,10/7/2012
695,35,Recycle,10/7/2012
696,35,Recycle,10/7/2012
697,35,Recycle,10/7/2012
698,35,Recycle,10/7/2012
699,35,Recycle,10/7/2012
700,35,Recycle,10/7/2012
701,35,Recycle,10/7/2012
702,35,Recycle,10/7/2012
703,35,Recycle,10/7/2012
704,35,Recycle,10/7/2012
705,35,Recycle,10/7/2012
706,35,Recycle,10/7/2012
707,35,Recycle,10/7/2012
708,35,Recycle,10/7/2012
709,35,Recycle,10/7/2012
710,35,Recycle,10/7/2012
711,35,Recycle,10/7/2012
712,35,Recycle,10/7/2012
713,35,Recycle,10/7/2012
714,35,Recycle,10/7/2012
715,35,Recycle,10/7/2012
716,35,Recycle,10/7/2012
717,35,Recycle,10/7/2012
718,35,Recycle,10/7/2012
719,35,Recycle,10/7/2012
720,35,Recycle,10/7/2012
721,35,Recycle,10/7/2012
722,35,Recycle,10/7/2012
723,35,Recycle,10/7/2012
724,35,Recycle,10/7/2012
725,35,Recycle,10/7/2012
726,35,Recycle,10/7/2012
727,35,Recycle,10/7/2012
728,35,Recycle,10/7/2012
729,35,Recycle,10/7/2012
730,35,Recycle,10/7/2012
731,35,Recycle,10/7/2012
732,35,Recycle,10/7/2012
733,35,Recycle,10/7/2012
734,35,Recycle,10/7/2012
735,35,Recycle,10/7/2012
736,35,Recycle,10/7/2012
737,35,Recycle,10/7/2012
738,35,Recycle,10/7/2012
739,35,Recycle,10/7/2012
740,35,Recycle,10/7/2012
741,35,Recycle,10/7/2012
742,35,Recycle,10/7/2012
743,35,Recycle,10/7/2012
744,35,Recycle,10/7/2012
745,35,Recycle,10/7/2012
746,35,Recycle,10/7/2012
747,35,Recycle,10/7/2012
748,35,Recycle,10/7/2012
749,35,Recycle,10/7/2012
750,35,Recycle,10/7/2012
751,35,Recycle,10/7/2012
752,35,Recycle,10/7/2012
753,35,Recycle,10/7/2012
754,35,Recycle,10/7/2012
755,35,Recycle,10/7/2012
756,35,Recycle,10/7/2012
757,35,Recycle,10/7/2012
758,35,Recycle,10/7/2012
759,35,Recycle,10/7/2012
760,35,Recycle,10/7/2012
761,35,Recycle,10/7/2012
762,35,Recycle,10/7/2012
763,35,Recycle,10/7/2012
764,35,Recycle,10/7/2012
765,35,Recycle,10/7/2012
766,35,Recycle,10/7/2012
767,35,Recycle,10/7/2012
768,35,Recycle,10/7/2012
769,35,Recycle,10/7/2012
770,35,Recycle,10/7/2012
771,35,Recycle,10/7/2012
772,35,Recycle,10/7/2012
773,35,Recycle,10/7/2012
774,35,Recycle,10/7/2012
775,35,Recycle,10/7/2012
776,35,Recycle,10/7/2012
777,35,Recycle,10/7/2012
778,35,Recycle,10/7/2012
779,35,Recycle,10/7/2012
780,35,Recycle,10/7/2012
781,35,Recycle,10/7/2012
782,35,Recycle,10/7/2012
783,35,Recycle,10/7/2012
784,35,Recycle,10/7/2012
785,35,Recycle,10/7/2012
786,35,Recycle,10/7/2012
787,35,Recycle,10/7/2012
788,35,Recycle,10/7/2012
789,35,Recycle,10/7/2012
790,35,Recycle,10/7/2012
791,35,Recycle,10/7/2012
792,35,Recycle,10/7/2012
793,35,Recycle,10/7/2012
794,35,Recycle,10/7/2012
795,35,Recycle,10/7/2012
796,35,Recycle,10/7/2012
797,35,Recycle,10/7/2012
798,35,Recycle,10/7/2012
799,35,Recycle,10/7/2012
800,35,Recycle,10/7/2012
801,35,Recycle,10/7/2012
802,35,Recycle,10/7/2012
803,35,Recycle,10/7/2012
804,35,Recycle,10/7/2012
805,35,Recycle,10/7/2012
806,35,Recycle,10/7/2012
807,35,Recycle,10/7/2012
808,35,Recycle,10/7/2012
809,35,Recycle,10/7/2012
810,35,Recycle,10/7/2012
811,35,Recycle,10/7/2012
812,35,Recycle,10/7/2012
813,35,Recycle,10/7/2012
814,35,Recycle,10/7/2012
815,35,Recycle,10/7/2012
816,35,Recycle,10/7/2012
817,35,Recycle,10/7/2012
818,35,Recycle,10/7/2012
819,35,Recycle,10/7/2012
820,35,Recycle,10/7/2012
821,35,Recycle,10/7/2012
822,35,Recycle,10/7/2012
823,35,Recycle,10/7/2012
824,35,Recycle,10/7/2012
825,35,Recycle,10/7/2012
826,35,Recycle,10/7/2012
827,35,Recycle,10/7/2012
828,35,Recycle,10/7/2012
829,35,Recycle,10/7/2012
830,35,Recycle,10/7/2012
831,35,Recycle,10/7/2012
832,35,Recycle,10/7/2012
833,35,Recycle,10/7/2012
834,35,Recycle,10/7/2012
835,35,Recycle,10/7/2012
836,35,Recycle,10/7/2012
837,35,Recycle,10/7/2012
838,35,Recycle,10/7/2012
839,35,Recycle,10/7/2012
840,35,Recycle,10/7/2012
841,35,Recycle,10/7/2012
842,35,Recycle,10/7/2012
843,35,Recycle,10/7/2012
844,35,Recycle,10/7/2012
845,35,Recycle,10/7/2012
846,35,Recycle,10/7/2012
847,35,Recycle,10/7/2012
848,35,Recycle,10/7/2012
849,35,Recycle,10/7/2012
850,35,Recycle,10/7/2012
851,35,Recycle,10/7/2012
852,35,Recycle,10/7/2012
853,35,Recycle,10/7/2012
854,35,Recycle,10/7/2012
855,35,Recycle,10/7/2012
856,35,Recycle,10/7/2012
857,35,Recycle,10/7/2012
858,35,Recycle,10/7/2012
859,35,Recycle,10/7/2012
860,35,Recycle,10/7/2012
861,35,Recycle,10/7/2012
862,35,Recycle,10/7/2012
863,35,Recycle,10/7/2012
864,35,Recycle,10/7/2012
865,35,Recycle,10/7/2012
866,35,Recycle,10/7/2012
867,35,Recycle,10/7/2012
868,35,Recycle,10/7/2012
869,35,Recycle,10/7/2012
870,35,Recycle,10/7/2012
871,35,Recycle,10/7/2012
872,35,Recycle,10/7/2012
