RFID,SERIAL,SIZE,TYPE,BORN_DATE
120811135158006412008207,6412008207,64,Other,7/11/2004
120820190654006412008988,6412008988,64,Other,7/11/2004
120820222457006412009091,6412009091,64,Other,7/11/2004
120820193550006412008998,6412008998,64,Other,7/11/2004
120820221307006412009083,6412009083,64,Other,7/11/2004
120820182827006412008965,6412008965,64,Other,7/11/2004
120820192822006412008994,6412008994,64,Other,7/11/2004
120820221418006412009084,6412009084,64,Other,7/11/2004
120811060155006412007930,6412007930,64,Other,7/11/2004
120811184009006412008379,6412008379,64,Other,7/11/2004
120820182032006412008959,6412008959,64,Other,7/11/2004
120811135837006412008211,6412008211,64,Other,7/11/2004
120811035519006412007854,6412007854,64,Other,7/11/2004
120811035709006412007855,6412007855,64,Other,7/11/2004
120811035219006412007852,6412007852,64,Other,7/11/2004
120820222323006412009090,6412009090,64,Other,7/11/2004
120821014327006412009195,6412009195,64,Other,7/11/2004
120820223307006412009096,6412009096,64,Other,7/11/2004
120821010452006412009177,6412009177,64,Other,7/11/2004
120820222628006412009092,6412009092,64,Other,7/11/2004
120811034934006412007850,6412007850,64,Other,7/11/2004
120811060017006412007929,6412007929,64,Other,7/11/2004
120811140024006412008212,6412008212,64,Other,7/11/2004
120820213723006412009063,6412009063,64,Other,7/11/2004
120820213547006412009062,6412009062,64,Other,7/11/2004
120811035332006412007853,6412007853,64,Other,7/11/2004
120820222939006412009094,6412009094,64,Other,7/11/2004
120821012950006412009191,6412009191,64,Other,7/11/2004
120820183006006412008966,6412008966,64,Other,7/11/2004
120811175755006412008354,6412008354,64,Other,7/11/2004
120811061154006412007936,6412007936,64,Other,7/11/2004
120820182502006412008962,6412008962,64,Other,7/11/2004
120811052915006412007910,6412007910,64,Other,7/11/2004
120811113938006412008128,6412008128,64,Other,7/11/2004
120811113815006412008127,6412008127,64,Other,7/11/2004
120821012757006412009190,6412009190,64,Other,7/11/2004
120811140654006412008216,6412008216,64,Other,7/11/2004
120811135006006412008206,6412008206,64,Other,7/11/2004
120821005922006412009174,6412009174,64,Other,7/11/2004
120811134517006412008203,6412008203,64,Other,7/11/2004
120811184622006412008383,6412008383,64,Other,7/11/2004
120811184251006412008381,6412008381,64,Other,7/11/2004
120811174102006412008344,6412008344,64,Other,7/11/2004
120811175127006412008350,6412008350,64,Other,7/11/2004
120811114627006412008132,6412008132,64,Other,7/11/2004
120820223128006412009095,6412009095,64,Other,7/11/2004
120820182615006412008963,6412008963,64,Other,7/11/2004
120811063524006412007949,6412007949,64,Other,7/11/2004
120811060902006412007934,6412007934,64,Other,7/11/2004
120820221027006412009081,6412009081,64,Other,7/11/2004
120820194715006412009005,6412009005,64,Other,7/11/2004
120811174423006412008346,6412008346,64,Other,7/11/2004
120821002109006412009151,6412009151,64,Other,7/11/2004
120811114329006412008130,6412008130,64,Other,7/11/2004
120821005412006412009171,6412009171,64,Other,7/11/2004
120811063350006412007948,6412007948,64,Other,7/11/2004
120820222054006412009088,6412009088,64,Other,7/11/2004
120811034419006412007847,6412007847,64,Other,7/11/2004
120811185932006412008391,6412008391,64,Other,7/11/2004
120811185754006412008390,6412008390,64,Other,7/11/2004
120811190440006412008394,6412008394,64,Other,7/11/2004
120811190257006412008393,6412008393,64,Other,7/11/2004
120811190641006412008395,6412008395,64,Other,7/11/2004
120811175242006412008351,6412008351,64,Other,7/11/2004
120811173949006412008343,6412008343,64,Other,7/11/2004
120811114951006412008134,6412008134,64,Other,7/11/2004
120811114811006412008133,6412008133,64,Other,7/11/2004
120820221825006412009087,6412009087,64,Other,7/11/2004
120902040154009512016269,9512016269,96,Refuse,11/3/2012
120902040006009512016268,9512016268,96,Refuse,11/4/2012
120901205734009512016042,9512016042,96,Refuse,11/5/2012
120902035806009512016267,9512016267,96,Refuse,11/6/2012
120901221357009512016086,9512016086,96,Refuse,11/7/2012
120902212300009612112695,9612112695,96,Refuse,11/8/2012
120902162729009612112538,9612112538,96,Refuse,11/9/2012
120902162926009612112539,9612112539,96,Refuse,11/10/2012
120814011413000003127469,0003127469,35,Refuse,11/11/2012
120814010725000003127465,0003127465,35,Refuse,11/12/2012
120814010026000003127460,0003127460,35,Refuse,11/13/2012
120814011845000003127473,0003127473,35,Refuse,11/14/2012
120814010255000003127462,0003127462,35,Refuse,11/15/2012
120814010428000003127463,0003127463,35,Refuse,11/16/2012
120814011716000003127472,0003127472,35,Refuse,11/17/2012
120814011600000003127471,0003127471,35,Refuse,11/18/2012
120814011452000003127470,0003127470,35,Refuse,11/19/2012
120814010144000003127461,0003127461,35,Refuse,11/20/2012
120814010613000003127464,0003127464,35,Refuse,11/21/2012
120524175907006412005736,6412005736,64,Refuse,11/22/2012
100610010407006410004373,6410004373,64,Refuse,11/23/2012
120524220510006412005665,6412005665,64,Refuse,11/24/2012
120524180321006412005739,6412005739,64,Refuse,11/25/2012
120524180144006412005738,6412005738,64,Refuse,11/26/2012
120524180458006412005740,6412005740,64,Refuse,11/27/2012
120524220406006412005666,6412005666,64,Refuse,11/28/2012
120524180015006412005737,6412005737,64,Refuse,11/29/2012
120524220336006412005667,6412005667,64,Refuse,11/30/2012
120524190849006412005770,6412005770,64,Refuse,12/1/2012
120417155057006412005634,6412005634,64,Refuse,12/2/2012
120417155230006412005632,6412005632,64,Refuse,12/3/2012
120417155525006412005558,6412005558,64,Refuse,12/4/2012
120524220755006412005668,6412005668,64,Refuse,12/5/2012
120427114936006412005636,6412005636,64,Refuse,12/6/2012
120524220658006412005644,6412005644,64,Refuse,12/7/2012
120427114905006412005635,6412005635,64,Refuse,12/8/2012
120901151949009512015848,9512015848,96,Refuse,12/9/2012
120901210325009512016046,9512016046,96,Refuse,12/10/2012
120901152341009512015850,9512015850,96,Refuse,12/11/2012
120907100104009612113552,9612113552,96,Refuse,12/12/2012
120907100020009612113551,9612113551,96,Refuse,12/13/2012
120907095411009612113549,9612113549,96,Refuse,12/14/2012
120907100248009612113553,9612113553,96,Refuse,12/15/2012
120907100507009612113555,9612113555,96,Refuse,12/16/2012
120902162617009612112537,9612112537,96,Refuse,12/17/2012
120907095801009612113550,9612113550,96,Refuse,12/18/2012
120907100354009612113554,9612113554,96,Refuse,12/19/2012
120907095317009612113548,9612113548,96,Refuse,12/20/2012
120808130849000035124235,0035124235,35,Refuse,12/21/2012
120808130449000035124232,0035124232,35,Refuse,12/22/2012
120808143306000035124286,0035124286,35,Refuse,12/23/2012
120814001115000003127426,0003127426,35,Refuse,12/24/2012
120814000856000003127424,0003127424,35,Refuse,12/25/2012
120814012009000003127474,0003127474,35,Refuse,12/26/2012
120622075253006512051494,6512051494,64,Refuse,12/27/2012
120622075355006512051499,6512051499,64,Refuse,12/28/2012
120622075036006512051492,6512051492,64,Refuse,12/29/2012
120620114755006512050994,6512050994,64,Refuse,12/30/2012
120620115621006512050999,6512050999,64,Refuse,12/31/2012
120620115124006512050996,6512050996,64,Refuse,1/1/2013
120622075156006512051498,6512051498,64,Refuse,1/2/2013
120620120432006512051000,6512051000,64,Refuse,1/3/2013
120622075115006512051493,6512051493,64,Refuse,1/4/2013
120620115255006512050997,6512050997,64,Refuse,1/5/2013
120620115440006512050998,6512050998,64,Refuse,1/6/2013
120620114612006512050993,6512050993,64,Refuse,1/7/2013
120620230321006512051324,6512051324,64,Refuse,1/8/2013
120620114311006512050991,6512050991,64,Refuse,1/9/2013
120620114435006512050992,6512050992,64,Refuse,1/10/2013
120524174445006412005728,6412005728,64,Refuse,1/11/2013
071510121824006410008517,6410008517,64,Refuse,1/12/2013
120901200230009512016011,9512016011,96,Refuse,1/13/2013
120901195938009512016008,9512016008,96,Refuse,1/14/2013
120901200414009512016012,9512016012,96,Refuse,1/15/2013
120901200108009512016002,9512016002,96,Refuse,1/16/2013
120901200630009512016013,9512016013,96,Refuse,1/17/2013
120901195918009512016003,9512016003,96,Refuse,1/18/2013
120901200140009512016010,9512016010,96,Refuse,1/19/2013
120901200008009512016009,9512016009,96,Refuse,1/20/2013
120901220727009512016082,9512016082,96,Refuse,1/21/2013
120901220628009512016081,9512016081,96,Refuse,1/22/2013
120907062746009612113448,9612113448,96,Refuse,1/23/2013
120907050634009612113401,9612113401,96,Refuse,1/24/2013
120907050510009612113400,9612113400,96,Refuse,1/25/2013
120907050757009612113402,9612113402,96,Refuse,1/26/2013
120808125719000035124229,0035124229,35,Refuse,1/27/2013
120808160338000035124228,0035124228,35,Refuse,1/28/2013
120921212745000003128821,0003128821,35,Refuse,1/29/2013
120814021528000003127512,0003127512,35,Refuse,1/30/2013
120922022156000003128965,0003128965,35,Refuse,1/31/2013
120921222748000003128850,0003128850,35,Refuse,2/1/2013
120921115320000003128559,0003128559,35,Refuse,2/2/2013
120921110651000003128536,0003128536,35,Refuse,2/3/2013
120921220320000003128838,0003128838,35,Refuse,2/4/2013
120921191116000003128758,0003128758,35,Refuse,2/5/2013
120921122124000003128574,0003128574,35,Refuse,2/6/2013
120921121047000003128567,0003128567,35,Refuse,2/7/2013
120921222246000003128845,0003128845,35,Refuse,2/8/2013
120921221852000003128846,0003128846,35,Refuse,2/9/2013
120921142617000003128634,0003128634,35,Refuse,2/10/2013
120922013429000003128941,0003128941,35,Refuse,2/11/2013
120922013254000003128940,0003128940,35,Refuse,2/12/2013
120814021426000003127511,0003127511,35,Refuse,2/13/2013
120921165519000003128710,0003128710,35,Refuse,2/14/2013
120921211045000003128812,0003128812,35,Refuse,2/15/2013
120921210827000003128810,0003128810,35,Refuse,2/16/2013
120921213944000003128827,0003128827,35,Refuse,2/17/2013
120921115733000003128561,0003128561,35,Refuse,2/18/2013
120921115514000003128560,0003128560,35,Refuse,2/19/2013
120814001312000003127427,0003127427,35,Refuse,2/20/2013
120921220628000003128840,0003128840,35,Refuse,2/21/2013
120921220953000003128841,0003128841,35,Refuse,2/22/2013
120921221147000003128842,0003128842,35,Refuse,2/23/2013
120814001416000003127428,0003127428,35,Refuse,2/24/2013
120921214411000003128829,0003128829,35,Refuse,2/25/2013
120922014138000003128945,0003128945,35,Refuse,2/26/2013
120921212548000003128820,0003128820,35,Refuse,2/27/2013
120922013936000003128944,0003128944,35,Refuse,2/28/2013
120921204632000003128803,0003128803,35,Refuse,3/1/2013
120813212025000003127308,0003127308,35,Refuse,3/2/2013
120921124428000003128584,0003128584,35,Refuse,3/3/2013
120921212447000003128819,0003128819,35,Refuse,3/4/2013
120921211751000003128816,0003128816,35,Refuse,3/5/2013
120921110328000003128534,0003128534,35,Refuse,3/6/2013
120813184519000003127238,0003127238,35,Refuse,3/7/2013
120921215525000003128833,0003128833,35,Refuse,3/8/2013
120921142752000003128635,0003128635,35,Refuse,3/9/2013
120921110224000003128533,0003128533,35,Refuse,3/10/2013
120922022649000003128968,0003128968,35,Refuse,3/11/2013
120921160102000003128682,0003128682,35,Refuse,3/12/2013
120921155917000003128681,0003128681,35,Refuse,3/13/2013
120921155748000003128680,0003128680,35,Refuse,3/14/2013
120921155608000003128679,0003128679,35,Refuse,3/15/2013
120922022834000003128969,0003128969,35,Refuse,3/16/2013
120921213455000003128824,0003128824,35,Refuse,3/17/2013
120813212356000003127311,0003127311,35,Refuse,3/18/2013
120921122012000003128573,0003128573,35,Refuse,3/19/2013
120921121842000003128572,0003128572,35,Refuse,3/20/2013
120921121327000003128569,0003128569,35,Refuse,3/21/2013
120921222618000003128849,0003128849,35,Refuse,3/22/2013
120921222451000003128847,0003128847,35,Refuse,3/23/2013
120921111039000003128538,0003128538,35,Refuse,3/24/2013
120921122958000003128578,0003128578,35,Refuse,3/25/2013
120922012630000003128937,0003128937,35,Refuse,3/26/2013
120921165958000003128712,0003128712,35,Refuse,3/27/2013
120921183315000003128739,0003128739,35,Refuse,3/28/2013
120921123230000003128579,0003128579,35,Refuse,3/29/2013
101310004024000003101627,0003101627,35,Refuse,3/30/2013
120921223621000003128854,0003128854,35,Refuse,3/31/2013
120922022308000003128966,0003128966,35,Refuse,4/1/2013
120921171919000003128722,0003128722,35,Refuse,4/2/2013
120921113905000003128552,0003128552,35,Refuse,4/3/2013
120813211910000003127307,0003127307,35,Refuse,4/4/2013
120921115920000003128562,0003128562,35,Refuse,4/5/2013
120921111311000003128539,0003128539,35,Refuse,4/6/2013
120921212120000003128818,0003128818,35,Refuse,4/7/2013
120921223208000003128852,0003128852,35,Refuse,4/8/2013
120921223359000003128853,0003128853,35,Refuse,4/9/2013
120921170710000003128716,0003128716,35,Refuse,4/10/2013
120921214911000003128831,0003128831,35,Refuse,4/11/2013
120921215657000003128834,0003128834,35,Refuse,4/12/2013
120921211354000003128814,0003128814,35,Refuse,4/13/2013
120921211623000003128815,0003128815,35,Refuse,4/14/2013
120921170858000003128717,0003128717,35,Refuse,4/15/2013
120921164759000003128706,0003128706,35,Refuse,4/16/2013
120921192040000003128763,0003128763,35,Refuse,4/17/2013
120921165222000003128708,0003128708,35,Refuse,4/18/2013
120921171245000003128719,0003128719,35,Refuse,4/19/2013
120921110437000003128535,0003128535,35,Refuse,4/20/2013
120921215819000003128835,0003128835,35,Refuse,4/21/2013
120921160217000003128683,0003128683,35,Refuse,4/22/2013
120921220224000003128837,0003128837,35,Refuse,4/23/2013
120921142451000003128633,0003128633,35,Refuse,4/24/2013
120921214311000003128828,0003128828,35,Refuse,4/25/2013
120921164406000003128704,0003128704,35,Refuse,4/26/2013
120921114037000003128553,0003128553,35,Refuse,4/27/2013
120921171642000003128720,0003128720,35,Refuse,4/28/2013
120921171755000003128721,0003128721,35,Refuse,4/29/2013
120921114518000003128555,0003128555,35,Refuse,4/30/2013
120921113655000003128551,0003128551,35,Refuse,5/1/2013
120921202813000003128794,0003128794,35,Refuse,5/2/2013
120921213633000003128825,0003128825,35,Refuse,5/3/2013
120921124035000003128583,0003128583,35,Refuse,5/4/2013
120921165349000003128709,0003128709,35,Refuse,5/5/2013
120921183158000003128738,0003128738,35,Refuse,5/6/2013
120921184210000003128745,0003128745,35,Refuse,5/7/2013
120921184047000003128744,0003128744,35,Refuse,5/8/2013
120921183821000003128742,0003128742,35,Refuse,5/9/2013
120921214647000003128830,0003128830,35,Refuse,5/10/2013
120921183937000003128743,0003128743,35,Refuse,5/11/2013
120921111442000003128540,0003128540,35,Refuse,5/12/2013
120922023442000003128972,0003128972,35,Refuse,5/13/2013
120921191816000003128762,0003128762,35,Refuse,5/14/2013
120921211907000003128817,0003128817,35,Refuse,5/15/2013
120921123633000003128580,0003128580,35,Refuse,5/16/2013
120921191501000003128760,0003128760,35,Refuse,5/17/2013
120921210930000003128811,0003128811,35,Refuse,5/18/2013
120921191339000003128759,0003128759,35,Refuse,5/19/2013
120921191634000003128761,0003128761,35,Refuse,5/20/2013
120921121201000003128568,0003128568,35,Refuse,5/21/2013
120921121536000003128570,0003128570,35,Refuse,5/22/2013
120921171055000003128718,0003128718,35,Refuse,5/23/2013
120921120920000003128566,0003128566,35,Refuse,5/24/2013
120921121646000003128571,0003128571,35,Refuse,5/25/2013
120813212245000003127310,0003127310,35,Refuse,5/26/2013
120921113128000003128548,0003128548,35,Refuse,5/27/2013
120921181122000003128730,0003128730,35,Refuse,5/28/2013
120922022535000003128967,0003128967,35,Refuse,5/29/2013
120921114238000003128554,0003128554,35,Refuse,5/30/2013
120921164138000003128702,0003128702,35,Refuse,5/31/2013
120921164241000003128703,0003128703,35,Refuse,6/1/2013
120921220438000003128839,0003128839,35,Refuse,6/2/2013
120812174128000003126546,0003126546,35,Refuse,6/3/2013
120921183430000003128740,0003128740,35,Refuse,6/4/2013
120813212129000003127309,0003127309,35,Refuse,6/5/2013
120922013552000003128942,0003128942,35,Refuse,6/6/2013
120921221707000003128844,0003128844,35,Refuse,6/7/2013
120921221404000003128843,0003128843,35,Refuse,6/8/2013
120921183059000003128737,0003128737,35,Refuse,6/9/2013
120921143036000003128637,0003128637,35,Refuse,6/10/2013
120921115038000003128558,0003128558,35,Refuse,6/11/2013
120921112833000003128547,0003128547,35,Refuse,6/12/2013
120921114923000003128557,0003128557,35,Refuse,6/13/2013
120813190109000003127241,0003127241,35,Refuse,6/14/2013
120921215958000003128836,0003128836,35,Refuse,6/15/2013
120921215106000003128832,0003128832,35,Refuse,6/16/2013
120921213823000003128826,0003128826,35,Refuse,6/17/2013
120921120451000003128565,0003128565,35,Refuse,6/18/2013
120921120304000003128564,0003128564,35,Refuse,6/19/2013
120921120037000003128563,0003128563,35,Refuse,6/20/2013
120921142231000003128632,0003128632,35,Refuse,6/21/2013
120813211741000003127306,0003127306,35,Refuse,6/22/2013
120921223908000003128855,0003128855,35,Refuse,6/23/2013
120921190614000003128755,0003128755,35,Refuse,6/24/2013
120921110921000003128537,0003128537,35,Refuse,6/25/2013
120921123746000003128581,0003128581,35,Refuse,6/26/2013
120921223000000003128851,0003128851,35,Refuse,6/27/2013
120921213043000003128822,0003128822,35,Refuse,6/28/2013
120921164530000003128705,0003128705,35,Refuse,6/29/2013
120922013732000003128943,0003128943,35,Refuse,6/30/2013
120921213318000003128823,0003128823,35,Refuse,7/1/2013
120921114641000003128556,0003128556,35,Refuse,7/2/2013
120813190253000003127242,0003127242,35,Refuse,7/3/2013
120812174242000003126547,0003126547,35,Refuse,7/4/2013
120921190736000003128756,0003128756,35,Refuse,7/5/2013
120921190925000003128757,0003128757,35,Refuse,7/6/2013
120921183708000003128741,0003128741,35,Refuse,7/7/2013
120921165843000003128711,0003128711,35,Refuse,7/8/2013
120921170120000003128713,0003128713,35,Refuse,7/9/2013
120812174025000003126545,0003126545,35,Refuse,7/10/2013
120922013031000003128939,0003128939,35,Refuse,7/11/2013
120922023217000003128971,0003128971,35,Refuse,7/12/2013
120922023034000003128970,0003128970,35,Refuse,7/13/2013
120921123858000003128582,0003128582,35,Refuse,7/14/2013
120921211206000003128813,0003128813,35,Refuse,7/15/2013
120921124659000003128586,0003128586,35,Refuse,7/16/2013
120922022024000003128964,0003128964,35,Refuse,7/17/2013
120921164937000003128707,0003128707,35,Refuse,7/18/2013
120921142920000003128636,0003128636,35,Refuse,7/19/2013
120921124547000003128585,0003128585,35,Refuse,7/20/2013
120922012812000003128938,0003128938,35,Refuse,7/21/2013
120921180746000003128729,0003128729,35,Refuse,7/22/2013
120921113328000003128549,0003128549,35,Refuse,7/23/2013
120921170250000003128714,0003128714,35,Refuse,7/24/2013
120921113521000003128550,0003128550,35,Refuse,7/25/2013
120921170449000003128715,0003128715,35,Refuse,7/26/2013
120921155410000003128678,0003128678,35,Refuse,7/27/2013
120524154014006412005681,6412005681,64,Refuse,7/28/2013
120813171102006412008539,6412008539,64,Refuse,7/29/2013
120811132146006412008189,6412008189,64,Refuse,7/30/2013
120813170958006412008538,6412008538,64,Refuse,7/31/2013
120811210703006412008467,6412008467,64,Refuse,8/1/2013
120813173330006412008552,6412008552,64,Refuse,8/2/2013
120813173137006412008551,6412008551,64,Refuse,8/3/2013
120806054900006412006753,6412006753,64,Refuse,8/4/2013
120811145303006412008243,6412008243,64,Refuse,8/5/2013
120811150807006412007972,6412007972,64,Refuse,8/6/2013
120811144155006412008237,6412008237,64,Refuse,8/7/2013
120806055530006412006757,6412006757,64,Refuse,8/8/2013
120807003549006412007403,6412007403,64,Refuse,8/9/2013
120805035204006412005942,6412005942,64,Refuse,8/10/2013
120806055130006412006755,6412006755,64,Refuse,8/11/2013
120822055255006412009829,6412009829,64,Refuse,8/12/2013
120820180047006412008949,6412008949,64,Refuse,8/13/2013
120811205332006412008459,6412008459,64,Refuse,8/14/2013
120811204123006412008451,6412008451,64,Refuse,8/15/2013
120811204224006412008452,6412008452,64,Refuse,8/16/2013
120822070905006412009874,6412009874,64,Refuse,8/17/2013
120811131638006412008186,6412008186,64,Refuse,8/18/2013
120811131816006412008187,6412008187,64,Refuse,8/19/2013
120813192136006412008616,6412008616,64,Refuse,8/20/2013
120811040848006412007862,6412007862,64,Refuse,8/21/2013
120822013010006412009674,6412009674,64,Refuse,8/22/2013
120822013134006412009675,6412009675,64,Refuse,8/23/2013
120822012837006412009673,6412009673,64,Refuse,8/24/2013
120811210505006412008466,6412008466,64,Refuse,8/25/2013
120813190931006412008609,6412008609,64,Refuse,8/26/2013
120811132027006412008188,6412008188,64,Refuse,8/27/2013
120813190819006412008608,6412008608,64,Refuse,8/28/2013
120820175218006412008943,6412008943,64,Refuse,8/29/2013
120524142822006412005675,6412005675,64,Refuse,8/30/2013
120524183734006412005751,6412005751,64,Refuse,8/31/2013
120822055629006412009831,6412009831,64,Refuse,9/1/2013
120805212334006412006496,6412006496,64,Refuse,9/2/2013
120822020204006412009693,6412009693,64,Refuse,9/3/2013
120811161544006412008293,6412008293,64,Refuse,9/4/2013
120811040526006412007860,6412007860,64,Refuse,9/5/2013
120813191608006412008613,6412008613,64,Refuse,9/6/2013
120811041205006412007864,6412007864,64,Refuse,9/7/2013
120813191252006412008611,6412008611,64,Refuse,9/8/2013
120811133145006412008195,6412008195,64,Refuse,9/9/2013
120813191107006412008610,6412008610,64,Refuse,9/10/2013
120811205140006412008458,6412008458,64,Refuse,9/11/2013
120822013822006412009679,6412009679,64,Refuse,9/12/2013
120822055417006412009830,6412009830,64,Refuse,9/13/2013
120811144831006412008241,6412008241,64,Refuse,9/14/2013
120811144710006412008240,6412008240,64,Refuse,9/15/2013
120822071220006412009876,6412009876,64,Refuse,9/16/2013
120805212841006412006500,6412006500,64,Refuse,9/17/2013
120822070750006412009873,6412009873,64,Refuse,9/18/2013
120822071357006412009877,6412009877,64,Refuse,9/19/2013
120820180123006412008938,6412008938,64,Refuse,9/20/2013
120805212943006412006501,6412006501,64,Refuse,9/21/2013
120805035903006412005944,6412005944,64,Refuse,9/22/2013
120811131215006412008183,6412008183,64,Refuse,9/23/2013
120813165912006412008532,6412008532,64,Refuse,9/24/2013
120811131046006412008182,6412008182,64,Refuse,9/25/2013
120811210157006412008464,6412008464,64,Refuse,9/26/2013
120811162043006412008296,6412008296,64,Refuse,9/27/2013
120811161858006412008295,6412008295,64,Refuse,9/28/2013
120811144017006412008236,6412008236,64,Refuse,9/29/2013
120813173435006412008553,6412008553,64,Refuse,9/30/2013
120811130940006412008181,6412008181,64,Refuse,10/1/2013
120813170023006412008533,6412008533,64,Refuse,10/2/2013
120822055735006412009832,6412009832,64,Refuse,10/3/2013
120524154139006412005682,6412005682,64,Refuse,10/4/2013
120822071107006412009875,6412009875,64,Refuse,10/5/2013
120805212453006412006497,6412006497,64,Refuse,10/6/2013
120811133028006412008194,6412008194,64,Refuse,10/7/2013
120811205008006412008457,6412008457,64,Refuse,10/8/2013
120822013420006412009677,6412009677,64,Refuse,10/9/2013
120811144427006400000000,6400000000,64,Refuse,10/10/2013
120813170733006412008537,6412008537,64,Refuse,10/11/2013
120813190705006412008607,6412008607,64,Refuse,10/12/2013
120813170207006412008534,6412008534,64,Refuse,10/13/2013
120813170535006412008536,6412008536,64,Refuse,10/14/2013
120807003402006412007402,6412007402,64,Refuse,10/15/2013
120805212601006412006498,6412006498,64,Refuse,10/16/2013
120811143846006412008235,6412008235,64,Refuse,10/17/2013
120811210326006412008465,6412008465,64,Refuse,10/18/2013
120811145639006412008245,6412008245,64,Refuse,10/19/2013
120524174645006412005729,6412005729,64,Refuse,10/20/2013
120820175550006412008945,6412008945,64,Refuse,10/21/2013
120820175710006412008946,6412008946,64,Refuse,10/22/2013
120820175943006412008948,6412008948,64,Refuse,10/23/2013
120822013646006412009678,6412009678,64,Refuse,10/24/2013
120811204538006412008454,6412008454,64,Refuse,10/25/2013
120811040659006412007861,6412007861,64,Refuse,10/26/2013
120807003242006412007401,6412007401,64,Refuse,10/27/2013
120524144440006412005677,6412005677,64,Refuse,10/28/2013
120822061713006412009843,6412009843,64,Refuse,10/29/2013
120805041855006412005955,6412005955,64,Refuse,10/30/2013
120820175819006412008947,6412008947,64,Refuse,10/31/2013
120822070551006412009872,6412009872,64,Refuse,11/1/2013
120813192557006412008618,6412008618,64,Refuse,11/2/2013
120811150432006412008250,6412008250,64,Refuse,11/3/2013
120811133322006412008196,6412008196,64,Refuse,11/4/2013
120822020026006412009692,6412009692,64,Refuse,11/5/2013
120813191421006412008612,6412008612,64,Refuse,11/6/2013
120811145155006412008242,6412008242,64,Refuse,11/7/2013
120822061827006412009844,6412009844,64,Refuse,11/8/2013
120811145758006412008246,6412008246,64,Refuse,11/9/2013
120822013942006412009680,6412009680,64,Refuse,11/10/2013
120822054806006412009826,6412009826,64,Refuse,11/11/2013
120822054633006412009825,6412009825,64,Refuse,11/12/2013
120806055313006412006756,6412006756,64,Refuse,11/13/2013
120811150114006412008248,6412008248,64,Refuse,11/14/2013
120811144601006412008239,6412008239,64,Refuse,11/15/2013
120822014134006412009681,6412009681,64,Refuse,11/16/2013
120805040228006412005946,6412005946,64,Refuse,11/17/2013
120811161737006412008294,6412008294,64,Refuse,11/18/2013
120524144643006412005678,6412005678,64,Refuse,11/19/2013
120822061951006412009845,6412009845,64,Refuse,11/20/2013
120813165557006412008530,6412008530,64,Refuse,11/21/2013
120805042052006412005956,6412005956,64,Refuse,11/22/2013
